Year,Player,Pos,College,qb_career_plays,qb_seasons,qb_final_qbr,qb_best_qbr,qb_epa_per_play,qb_final_epa_per_play,qb_sack_epa_per_play,qb_run_epa_per_play
2015,Connor Halliday,QB,Washington State,1746.0,3,63.4,63.4,0.03585,0.06912,-0.02715,-0.00447
2015,Garrett Grayson,QB,Colorado State,1085.0,2,69.4,69.4,0.07447,0.10556,-0.02876,-0.00323
2015,Jameis Winston,QB,Florida State,1084.0,2,74.6,90.2,0.12583,0.09086,-0.02445,0.00581
2015,Marcus Mariota,QB,Oregon,1634.0,3,91.3,91.3,0.16879,0.19095,-0.02515,0.06928
2015,Sean Mannion,QB,Oregon State,2158.0,4,48.6,75.9,0.06108,0.02429,-0.02929,-0.00357
2015,Shane Carden,QB,East Carolina,2001.0,3,67.5,72.0,0.1064,0.08949,-0.02849,0.00995
2015,Trevor Siemian,QB,Northwestern,849.0,2,44.5,60.0,0.02721,0.00654,-0.04134,0.00412
2016,Brandon Allen,QB,Arkansas,1189.0,3,88.0,88.0,0.09302,0.17379,-0.01951,0.00261
2016,Brandon Doughty,QB,Western Kentucky,1679.0,3,82.9,82.9,0.13818,0.16202,-0.02049,-0.00191
2016,Cardale Jones,QB,Ohio State,261.0,1,56.1,56.1,0.05517,0.05517,-0.03027,-0.00345
2016,Christian Hackenberg,QB,Penn State,1607.0,3,49.5,58.3,0.0135,0.0109,-0.04437,-0.00236
2016,Cody Kessler,QB,USC,1551.0,3,67.5,79.5,0.08575,0.07014,-0.0392,0.00935
2016,Connor Cook,QB,Michigan State,1428.0,3,76.9,82.3,0.1187,0.1303,-0.02059,0.00756
2016,Dak Prescott,QB,Mississippi State,1734.0,3,78.8,86.5,0.11367,0.10576,-0.0207,0.05358
2016,Jacoby Brissett,QB,NC State,1100.0,2,65.5,68.9,0.074,0.05745,-0.03873,0.04182
2016,Jake Rudock,QB,Michigan,1368.0,3,82.0,82.0,0.10263,0.12224,-0.0242,0.02537
2016,Jared Goff,QB,California,1876.0,3,84.2,84.2,0.09531,0.14044,-0.02985,0.00272
2016,Jeff Driskel,QB,Louisiana Tech,1279.0,3,68.4,68.4,0.05684,0.11304,-0.03503,0.02799
2016,Kevin Hogan,QB,Stanford,1319.0,3,87.3,87.3,0.12502,0.1736,-0.02881,0.02745
2016,Mike Bercovici,QB,Arizona State,675.0,1,66.5,66.5,0.07659,0.07659,-0.03393,0.01111
2016,Nate Sudfeld,QB,Indiana,879.0,2,73.8,73.8,0.1116,0.13066,-0.01729,0.00717
2016,Paxton Lynch,QB,Memphis,1600.0,3,74.9,74.9,0.06969,0.13392,-0.02431,0.01125
2016,Vernon Adams Jr.,QB,Oregon,374.0,1,82.2,82.2,0.14011,0.14011,-0.04278,0.00535
2017,Brad Kaaya,QB,Miami,1404.0,3,68.6,69.4,0.07885,0.08418,-0.02742,-0.00313
2017,C.J. Beathard,QB,Iowa,909.0,2,43.5,69.7,0.04906,-0.00587,-0.04224,0.02948
2017,Chad Kelly,QB,Ole Miss,1059.0,2,81.4,86.9,0.1289,0.11454,-0.02181,0.03003
2017,Davis Webb,QB,California,1522.0,3,69.8,80.4,0.08219,0.07165,-0.01202,-0.00204
2017,DeShone Kizer,QB,Notre Dame,1045.0,2,69.5,79.1,0.09904,0.08743,-0.02526,0.02938
2017,Deshaun Watson,QB,Clemson,1542.0,2,83.9,86.7,0.13236,0.12161,-0.01271,0.02555
2017,Joshua Dobbs,QB,Tennessee,1359.0,3,79.8,79.8,0.1011,0.11632,-0.0326,0.05754
2017,Mitch Leidner,QB,Minnesota,1394.0,3,55.2,70.2,0.05646,0.0522,-0.0269,0.02181
2017,Mitchell Trubisky,QB,North Carolina,606.0,1,83.6,83.6,0.14934,0.14934,-0.02261,0.01535
2017,Nathan Peterman,QB,Pittsburgh,856.0,2,81.2,81.2,0.10432,0.13333,-0.03026,0.01741
2017,Patrick Mahomes,QB,Texas Tech,1796.0,3,82.5,82.5,0.12634,0.14796,-0.02305,0.0343
2018,Alex Mcgough,QB,Florida Intl,1776.0,4,61.5,61.5,0.04398,0.12311,-0.03553,0.01931
2018,Austin Allen,QB,Arkansas,764.0,2,58.2,69.9,0.0551,0.03943,-0.04542,-0.00039
2018,Baker Mayfield,QB,Oklahoma,2025.0,4,92.3,92.3,0.14504,0.21601,-0.03215,0.01625
2018,Chase Litton,QB,Marshall,1433.0,3,60.8,60.8,0.08779,0.11212,-0.01856,-0.00363
2018,Danny Etling,QB,LSU,1053.0,3,80.8,80.8,0.06258,0.12216,-0.04055,0.01216
2018,Josh Allen,QB,Wyoming,943.0,2,60.1,73.8,0.11188,0.08508,-0.03043,0.05111
2018,Josh Rosen,QB,UCLA,1392.0,3,64.1,68.4,0.07909,0.07556,-0.02579,0.0069
2018,Kurt Benkert,QB,Virginia,1115.0,2,52.3,52.3,0.02762,0.02484,-0.03453,-0.00197
2018,Kyle Allen,QB,Houston,369.0,1,62.3,62.3,0.03388,0.03388,-0.04905,0.01409
2018,Lamar Jackson,QB,Louisville,1867.0,3,85.4,85.4,0.12041,0.13922,-0.03026,0.08575
2018,Logan Woodside,QB,Toledo,1402.0,3,72.4,77.9,0.12404,0.13242,-0.0189,-0.00884
2018,Luke Falk,QB,Washington State,2474.0,4,53.9,72.0,0.0747,0.04013,-0.0306,-0.00069
2018,Mason Rudolph,QB,Oklahoma State,1673.0,3,86.7,86.7,0.14065,0.17834,-0.03114,0.00813
